Date,HD,DIS,MSFT,BA,MMM,PFE,NKE,JNJ,MCD,INTC,XOM,GS,JPM,AXP,V,IBM,UNH,PG,GE,KO,CSCO,CVX,CAT,MRK,WMT,VZ,RTX,TRV,AAPL,ADBE,EBAY,QCOM,HPQ,JNPR,AMD
2012-12-31,61.849998474121094,49.790000915527344,26.709999084472656,75.36000061035156,92.8499984741211,23.795066833496094,25.799999237060547,70.0999984741211,88.20999908447266,20.6200008392334,86.55000305175781,127.55999755859375,43.970001220703125,57.47999954223633,37.89500045776367,183.12619018554688,54.2400016784668,67.88999938964844,161.46153259277344,36.25,19.649999618530273,108.13999938964844,89.61000061035156,39.064884185791016,68.2300033569336,43.27000045776367,51.61107635498047,71.81999969482422,19.006071090698242,37.68000030517578,21.464645385742188,61.86000061035156,6.4713897705078125,19.670000076293945,2.4000000953674316
2013-01-02,63.47999954223633,51.099998474121094,27.6200008392334,77.06999969482422,94.77999877929688,24.582542419433594,25.920000076293945,70.83999633789062,90.12000274658203,21.3799991607666,88.70999908447266,131.66000366210938,44.65999984741211,58.75,38.845001220703125,187.71510314941406,54.540000915527344,69.38999938964844,164.15383911132812,37.599998474121094,20.34000015258789,110.38999938964844,93.5,39.446563720703125,69.23999786376953,44.27000045776367,52.86343765258789,72.86000061035156,19.608213424682617,38.34000015258789,22.55471420288086,64.75,6.821072101593018,20.549999237060547,2.5299999713897705
2013-01-03,63.29999923706055,51.209999084472656,27.25,77.47000122070312,94.66999816894531,24.525617599487305,26.184999465942383,70.73999786376953,90.62999725341797,21.31999969482422,88.55000305175781,130.94000244140625,44.56999969482422,59.0,38.875,186.68260192871094,51.9900016784668,68.94999694824219,162.3076934814453,37.599998474121094,20.450000762939453,109.91999816894531,94.4000015258789,40.39122009277344,68.80000305175781,44.060001373291016,53.058528900146484,73.41999816894531,19.360713958740234,37.75,22.07491683959961,64.44999694824219,6.87556791305542,20.170000076293945,2.490000009536743
2013-01-04,63.18000030517578,52.189998626708984,26.739999771118164,77.69000244140625,95.37000274658203,24.629980087280273,26.440000534057617,71.55000305175781,89.8499984741211,21.15999984741211,88.95999908447266,134.50999450683594,45.36000061035156,59.61000061035156,39.192501068115234,185.45889282226562,52.09000015258789,69.08999633789062,163.07691955566406,37.65999984741211,20.479999542236328,110.5,94.91999816894531,40.04771041870117,69.05999755859375,44.29999923706055,53.48017501831055,74.05999755859375,18.821428298950195,38.130001068115234,22.213804244995117,63.5,6.87556791305542,20.3799991607666,2.5899999141693115
2013-01-07,62.84000015258789,50.970001220703125,26.690000534057617,76.12999725341797,95.48999786376953,24.648956298828125,26.479999542236328,71.4000015258789,90.91000366210938,21.25,87.93000030517578,134.25999450683594,45.40999984741211,59.86000061035156,39.47249984741211,184.64627075195312,52.09000015258789,68.62000274658203,162.53846740722656,37.29999923706055,20.290000915527344,109.75,95.20999908447266,40.19084167480469,68.4000015258789,44.689998626708984,53.22215270996094,73.05999755859375,18.71071434020996,37.939998626708984,22.52104377746582,64.01000213623047,6.8891921043396,20.149999618530273,2.6700000762939453
2013-01-08,63.220001220703125,50.7599983215332,26.549999237060547,74.12999725341797,95.5,24.686906814575195,26.200000762939453,71.41000366210938,90.94000244140625,21.09000015258789,88.4800033569336,133.0500030517578,45.5,60.20000076293945,39.84000015258789,184.3881378173828,51.400001525878906,68.51000213623047,160.76922607421875,37.040000915527344,20.309999465942383,109.26000213623047,94.0,40.24809265136719,68.58999633789062,43.099998474121094,52.580238342285156,73.19000244140625,18.761070251464844,38.13999938964844,22.171716690063477,63.90999984741211,6.989100933074951,19.719999313354492,2.6700000762939453
2013-01-09,63.16999816894531,50.779998779296875,26.700000762939453,76.76000213623047,96.41000366210938,25.11385154724121,26.225000381469727,71.7300033569336,90.80999755859375,21.450000762939453,88.13999938964844,134.32000732421875,45.470001220703125,60.2599983215332,40.4474983215332,183.86233520507812,52.369998931884766,68.87999725341797,161.15383911132812,37.029998779296875,20.299999237060547,109.54000091552734,94.44000244140625,40.639312744140625,68.56999969482422,43.0,53.209564208984375,73.94000244140625,18.467857360839844,38.65999984741211,22.205387115478516,64.87999725341797,7.198001861572266,19.950000762939453,2.630000114440918
2013-01-10,63.619998931884766,50.790000915527344,26.459999084472656,77.08999633789062,96.88999938964844,25.388994216918945,26.274999618530273,72.19000244140625,91.4000015258789,21.799999237060547,89.0999984741211,137.3699951171875,46.150001525878906,60.790000915527344,40.127498626708984,184.397705078125,53.11000061035156,69.2699966430664,162.84616088867188,36.959999084472656,20.440000534057617,110.47000122070312,95.08000183105469,40.82061004638672,68.36000061035156,43.59000015258789,53.47388458251953,74.44999694824219,18.696786880493164,38.619998931884766,22.306396484375,64.77999877929688,7.393279075622559,20.299999237060547,2.619999885559082
2013-01-11,63.70000076293945,50.58000183105469,26.829999923706055,75.16000366210938,96.27999877929688,25.16128921508789,26.549999237060547,72.3499984741211,91.7300033569336,22.0,89.61000061035156,137.1300048828125,46.13999938964844,61.2400016784668,40.290000915527344,185.89866638183594,52.81999969482422,69.22000122070312,162.53846740722656,36.90999984741211,20.479999542236328,111.7300033569336,95.19000244140625,41.25,68.62999725341797,43.29999923706055,53.606040954589844,74.8499984741211,18.582143783569336,38.09000015258789,22.601009368896484,64.9000015258789,7.338782787322998,20.65999984741211,2.6700000762939453
2013-01-14,63.47999954223633,50.59000015258789,26.889999389648438,76.55000305175781,97.08000183105469,25.370019912719727,26.594999313354492,72.55999755859375,91.52999877929688,22.0,89.58000183105469,136.1300048828125,45.880001068115234,61.209999084472656,40.162498474121094,184.14913940429688,53.36000061035156,69.62999725341797,162.46153259277344,36.9900016784668,20.969999313354492,112.8499984741211,94.62999725341797,41.35496139526367,68.30000305175781,42.59000015258789,53.99622344970703,74.94999694824219,17.91964340209961,38.15999984741211,22.38215446472168,64.23999786376953,7.697547912597656,20.81999969482422,2.640000104904175
